Id;Title;Session Type;Author;Rating;Trust;Review(#);Reviewers;Abstract
7384;Abuser stories: how we embedded a security culture within our business.;DEV@SATURN Talk (15 minutes);Jim van der Waal;78.5714285714286;70.0;7;Eoin Woods, Ged Byrne, paul newell, Einar Landre, Michael Keeling, V Calmic, Paulo Merson;How do you cope with the growth of security risks? Creating a security culture in your company becomes more important every day. Providing your IT teams with the right tools is one thing, but new features start way before it reaches the development phase. So how do you create such a culture?
8060;Agile Architecture and Design;Experience Report Presentation (30 minutes);Pradyumn Sharma;77.7777777777778;90.0;9;Harald Wesenberg, Eoin Woods, Ipek Ozkaya, Ged Byrne, paul newell, Robert Nord, Michael Keeling, Einar Landre, Jørn Ølmheim;How to establish the architecture for a system in an agile way? How to avoid BDUF, and yet meet the architecture requirements and mitigate the risks aggressively? Concrete examples from projects to understand the concepts as well as practical insight.
6278;A Hands on Introduction To Docker;Participatory Session (90 minutes);Len Bass;75.125;80.0;8;Amine Chigani, Eoin Woods, Ged Byrne, paul newell, Yogeshwar Srikrishnan, Paulo Merson, Einar Landre, Michael Keeling;Containers are light weight virtual machines that have become default packaging mechanisms for the deploying of systems. Docker is the pre-eminent container system.   I will provide some explanations of how containers work and the participants will build,execute, deploy, and save a container.   
7892;An Architect's Framework for Navigating Complexity;Participatory Session (90 minutes);Ken Power;100.0;80.0;8;Eoin Woods, Ged Byrne, paul newell, Robert Nord, Michael Keeling, Jørn Ølmheim, Yogeshwar Srikrishnan, Einar Landre;To create resilient and antifragile systems, architects must use decision-making approaches that help them better navigate the complexity of their environment. Participants in this hands-on session will learn how to apply sensemaking and the Cynefin framework to architecture-related challenges.
8185;An In-Depth Look at Event Sourcing with CQRS;Tech Talks and Tech Tutorials (30 or 90 minutes - please specify the exact time in the Notes section);Sebastian von Conrad;100.0;70.0;7;Chris Cooper-Bland, Eoin Woods, Einar Landre, paul newell, Jørn Ølmheim, Michael Keeling, Paulo Merson;Event Sourcing is an approach to building software with a long track record of success. By placing business concepts at the heart of our code, we can decouple systems into small services that can be quickly built, changed, and replaced. This talk will show you how.
7391;Architecture Decision Records in Action;Experience Report Presentation (30 minutes);Michael Keeling;100.0;60.0;6;Chris Cooper-Bland, paul newell, Jørn Ølmheim, Einar Landre, Yogeshwar Srikrishnan, John Klein;Architecture Decision Records (ADRs) capture key architectural design decisions in a lightweight, easy-to-create, plain text template stored in your existing version control system.  In this talk we will explore case studies from the IBM Watson IR Enhanced team and learn how to use ADRs.
7179;Automate ALL the Things: Taking Advantage of Free Tools to Automate Your End-to-End Release Pipelines;Tech Talks and Tech Tutorials (30 or 90 minutes - please specify the exact time in the Notes section);Avantika Mathur;100.0;60.0;6;Ged Byrne, paul newell, Jørn Ølmheim, Einar Landre, Michael Keeling, Paulo Merson;This presentation will use a real case study and a live demo to show how you can orchestrate your entire software delivery pipeline.  Learn how to create a fully-automated release pipeline tying-in common tools that you likely use in your process from CI build to Release.
8492;Beyond Bitcoin: What To Do With Blockchain?;Tech Talks and Tech Tutorials (30 or 90 minutes - please specify the exact time in the Notes section);Nelson Petracek;87.5;40.0;4;Michael Keeling, Ian Maung, Einar Landre, paul newell;Blockchain is an emerging technology that is receiving a lot of interest (and hype!) across enterprises and analysts alike.  It has the potential to greatly disrupt a large number of business processes across various verticals - much beyond the cryptocurrency known as Bitcoin.
8165;Blending Product Thinking with Architecture;Tech Talks and Tech Tutorials (30 or 90 minutes - please specify the exact time in the Notes section);Joel Tosi;90.0;50.0;5;Harald Wesenberg, Michael Keeling, Thijmen de Gooijer, Einar Landre, paul newell;Product Thinking - understanding the use and need  - is critical to not over engineering a product.  In this session, we explore and use simple tools that help teams blend architecture with the need of the product.
8030;Building composable abstractions;Tech Talks and Tech Tutorials (30 or 90 minutes - please specify the exact time in the Notes section);Eric Normand;80.0;50.0;5;Ipek Ozkaya, paul newell, Ian Maung, Einar Landre, Jørn Ølmheim;Do you want to create robust and composable abstractions? In this talk Eric Normand will present an iterative process to define the essence of a domain and build composability into the core. We will apply this process to the Processing graphics library to develop a composable vector graphics system.
